Actor1_Rev,Actor2_Rev,Year,YT_Count,YT_Likes,YT_Dislike,IMDBVotes,imdbRating,Budget,Revenue,Rated
136623867,0,2015,38576440,135916,4254,543421,8,108000000,663851905,3
152579280,0,2005,439624,570,40,270589,6.9,126000000,35800000,3
5289101,197862206,2000,938118,713,60,225289,6.5,90000000,100978700,3
101365680,60754126,2000,899311,1430,78,1038730,8.5,103000000,8205703,4
183502020,170731996,2002,417357,549,31,415973,7.7,102000000,358824714,3
15580079,6168920,2002,450860,1456,22,414552,7.4,100000000,878979634,2
372774112,0,2006,1478656,2742,99,489236,8,150000000,594420283,3
144799396,17114323,2001,20679908,137589,4566,183087,5.7,100000000,362211740,3
62940472,0,1991,480904,2300,44,784674,8.5,102000000,198116802,4
217742101,2576,2009,4221095,5930,264,237986,7,100000000,212282709,4
106585059,101365680,2007,2040808,2837,102,334605,7.8,100000000,267985456,4
62940472,0,1994,1676344,1619,122,197126,7.2,115000000,365300000,4
106585059,58368048,2009,911717,1220,70,156227,6.4,100000000,65452312,4
64962645,0,2010,565885,805,45,89084,5.5,100000000,310650574,3
33190637,0,2010,6748419,9213,328,197969,6.7,100000000,170936470,3
62940472,1204356,1996,294858,423,21,87479,6.1,100000000,234400000,4
133746607,178248658,2012,14738924,38639,1725,1024786,8.4,100000000,449948323,4
7371578,112889565,2000,739197,222,19,135539,7.3,100000000,87320505,1
53918831,41491375,2012,11716766,13249,518,255260,6.6,92000000,85017401,4
5289101,0,2004,1981794,330,133,261735,6.9,100000000,331323410,2
27185541,60054917,2006,754318,1672,132,110455,5.1,100000000,249488115,2
30319359,0,2009,1279525,3559,128,90029,6.8,100000000,99123656,2
87210690,16315388,2015,19141918,61681,4776,46851,5.8,150000000,123888320,2
17887206,29926250,2013,8638055,23991,1252,88564,6.7,100000000,262794441,2
104642616,0,2010,1693925,1987,127,184097,6,100000000,278731369,3
62940472,927877,1999,898092,833,283,92092,5.7,83000000,212026975,4
220027943,100085346,2006,1341700,2668,100,416694,8,100000000,171377916,4
220027943,114847164,2013,10605827,27199,1021,849538,8.2,100000000,391976723,4
13903580,88956281,1995,1064162,2786,180,198063,5.4,100000000,336529144,3
57619771,0,2012,22494079,78645,2942,296389,7.5,102000000,130673154,4
0,39883121,2004,1508186,7741,538,90256,3.3,100000000,82145379,3
29402685,589089,2014,17890093,29321,2113,151030,7.2,100000000,243388614,1
18753850,0,2002,558374,1366,48,74843,7.1,140000000,91800000,2
33190637,0,2009,1553574,1809,176,53254,5.4,100000000,69548641,3
53918831,41491375,2014,25240551,71975,2409,134703,6.1,90000000,34742878,3
1635389,9024615,2015,22929103,48705,14184,118049,7.2,105000000,128131571,4
1245983,6044154,2005,1981700,4147,821,42430,2.2,84000000,59918422,2
360722214,19688698,2015,14520427,28764,1526,86998,6.9,100000000,90420758,3
117777459,14934409,2002,344442,543,263,20812,3.8,100000000,7094995,3
7428978,90128440,2010,1109634,1054,103,113714,6.8,100000000,97523020,4
61194602,0,2015,9619643,35343,1321,32959,7.1,99000000,244778411,1
